accel_x_mean,accel_x_min,accel_x_max,accel_y_mean,accel_y_min,accel_y_max,accel_z_mean,accel_z_min,accel_z_max,accel_sma,accel_ai,gyro_x_mean,gyro_x_min,gyro_x_max,gyro_y_mean,gyro_y_min,gyro_y_max,gyro_z_mean,gyro_z_min,gyro_z_max,gyro_sma,gyro_ai,bucket_bin,activity,activity_code,bucket_samples
-2689.38,-10048,-302,3206.56,-2180,15228,-365.92,-7456,3824,7066.5,4735.9017235070505,71.75,-4022,2308,-3.34,-4076,3706,-161.43,-1682,1223,3342.62,2154.531766126432,19,Walking,4,100
-2692.56,-10630,-236,3267.26,-2634,12496,-368.72,-8028,3348,7115.34,4705.103305384011,157.42,-3114,2256,-10.84,-5418,3788,-104.55,-2009,1339,3364.15,2159.55306311892,20,Walking,4,100
-2679.0,-12314,-338,3243.08,-676,11910,-375.54,-6590,2686,6912.14,4630.492875029922,132.57,-3127,2242,33.25,-2846,3471,-72.2,-1367,1740,3203.98,2037.0329597925056,21,Walking,4,100
-2619.88,-9190,-452,3298.64,-1354,13072,-479.98,-5994,3516,6958.54,4631.171017192291,51.53,-2851,2019,85.44,-4142,2923,-103.01,-1433,1388,3343.52,2106.4319231506975,22,Walking,4,100
-2789.098901098901,-8474,-664,3388.4615384615386,-1608,13988,-576.1538461538462,-6956,3422,7455.472527472528,4905.675907526632,-23.505494505494507,-3410,2081,-44.84615384615385,-5272,3426,-46.56043956043956,-1593,1185,3253.1098901098903,2102.345572236374,23,Walking,4,91
-2784.28,-7770,-450,2917.54,-1852,8050,-466.02,-7316,2138,6682.72,4389.022941274839,100.55,-3434,2323,-85.75,-4905,2896,-118.1,-1822,1356,3150.44,2042.6969755875125,24,Walking,4,100
-2514.32,-6674,-536,3299.72,782,12324,-147.78,-5982,4210,6617.9400000000005,4460.19323159859,21.38,-3220,2219,-127.79,-3211,2918,-42.9,-1678,1267,3359.57,2123.9037677644524,25,Walking,4,100
-2637.8,-8714,-672,3243.36,-1120,13216,-191.86,-5782,3706,6785.3,4551.170631984111,259.88,-1905,2300,13.78,-3300,2706,-32.05,-1458,1384,3073.77,1929.2731547988267,26,Walking,4,100
-2731.3,-10116,174,3295.7,-1628,11608,-400.18,-7262,3826,7147.62,4754.453648798036,108.06,-3345,2105,-73.48,-3261,3789,9.65,-1624,1268,3307.59,2103.9607227897322,27,Walking,4,100
-2827.04,-7762,-670,3256.46,-802,13548,-463.0,-6986,3164,7183.74,4768.323790513283,63.15,-3391,2154,-155.68,-3355,2869,4.67,-1642,1472,3147.34,1988.4952876431669,28,Walking,4,100
-2656.1,-9004,354,3254.36,-1426,12300,-383.36,-7340,3690,7034.26,4675.70564891084,16.81,-4967,2646,-245.09,-3472,3717,73.97,-1592,1083,3283.35,2104.3793616135786,29,Walking,4,100
-2727.1,-7994,406,3009.22,-1760,13126,-449.4,-6412,4048,6880.6,4543.554219020631,-214.86,-3132,2327,-95.02,-2749,2729,-34.25,-1755,1258,3050.17,1920.4234060947565,30,Walking,4,100
-2641.98,-8786,-600,3036.58,-478,12770,-438.24,-6056,3518,6635.8,4456.256205267234,-315.8,-3508,1990,75.09,-2472,2811,-61.28,-1641,1140,2956.31,1869.1008081862203,31,Walking,4,100
